Channel Id,Channel Url,Channel Title
UC-86w3Ym3OjgyrJPQkEGOdA,http://www.youtube.com/channel/UC-86w3Ym3OjgyrJPQkEGOdA,GmanModz
UC-A2WBfHTnWkhNvehNo-MaA,http://www.youtube.com/channel/UC-A2WBfHTnWkhNvehNo-MaA,Tyrecordslol
UC-CBSBRP82j2t5PQ3M33CVw,http://www.youtube.com/channel/UC-CBSBRP82j2t5PQ3M33CVw,Firefox
UC-GlTnztwtiZlI1pxdn0ooQ,http://www.youtube.com/channel/UC-GlTnztwtiZlI1pxdn0ooQ,The SpongeBob SquarePants Movie Rehydrated
UC-KiQd9mv8Mxlatql5hcoqA,http://www.youtube.com/channel/UC-KiQd9mv8Mxlatql5hcoqA,xoZero
UC-OO324clObi3H-U0bP77dw,http://www.youtube.com/channel/UC-OO324clObi3H-U0bP77dw,SnoopDoggTV
UC-RwkVQcUPAKt_PyYZVgI1g,http://www.youtube.com/channel/UC-RwkVQcUPAKt_PyYZVgI1g,knsplash
UC-hOof8hD-mK_8tDYEOWWXQ,http://www.youtube.com/channel/UC-hOof8hD-mK_8tDYEOWWXQ,MrAjae_Shorts
UC-kDX_ZvjzY_GECcKmJ9FPA,http://www.youtube.com/channel/UC-kDX_ZvjzY_GECcKmJ9FPA,Jon Bringus
UC-lHJZR3Gqxm24_Vd_AJ5Yw,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
UC-mP1nlk0qOutA08zuQHORA,http://www.youtube.com/channel/UC-mP1nlk0qOutA08zuQHORA,Patrick Cc:
UC-nR_EkzAIGG9JywsXKfrqw,http://www.youtube.com/channel/UC-nR_EkzAIGG9JywsXKfrqw,GoatedTylerTheCreator
UC-pariAxZlINnspVJEAy2Zw,http://www.youtube.com/channel/UC-pariAxZlINnspVJEAy2Zw,RapTV
UC-qXLdZROhKbBP7_1vBHFhA,http://www.youtube.com/channel/UC-qXLdZROhKbBP7_1vBHFhA,The Gentle Men
UC-teOaKQu7eK-3FpS4ehhhw,http://www.youtube.com/channel/UC-teOaKQu7eK-3FpS4ehhhw,Foodies
UC03O2HjwBat2bc0ZNmiuu2Q,http://www.youtube.com/channel/UC03O2HjwBat2bc0ZNmiuu2Q,Mr V's Garage
UC09J9FgZJVNeJdKiGZ6pvBg,http://www.youtube.com/channel/UC09J9FgZJVNeJdKiGZ6pvBg,tufft 
UC0E7B92To-iaPgiXEf-LE7A,http://www.youtube.com/channel/UC0E7B92To-iaPgiXEf-LE7A,Non Stop Cara FM
UC0GLNhtTu7yI8rl6ZZGeezw,http://www.youtube.com/channel/UC0GLNhtTu7yI8rl6ZZGeezw,TheOdd2sOut
UC0H01HhWBaONW_TzaSq0Z7w,http://www.youtube.com/channel/UC0H01HhWBaONW_TzaSq0Z7w,RealjN
UC0KAFLxIiaR_FFNYDL3utGw,http://www.youtube.com/channel/UC0KAFLxIiaR_FFNYDL3utGw,ASAPROCKYUPTOWN
UC0KHZ5fenxT7CH2kjy9j4nw,http://www.youtube.com/channel/UC0KHZ5fenxT7CH2kjy9j4nw,Teedle
UC0L0PDO9kUS46JC1wEjLEbg,http://www.youtube.com/channel/UC0L0PDO9kUS46JC1wEjLEbg,Stones Throw
UC0Q-ieLTxqyf7p5MRAsvcfg,http://www.youtube.com/channel/UC0Q-ieLTxqyf7p5MRAsvcfg,Space Age Snacks
UC0VEk7EL2_ohSGKdz1foigg,http://www.youtube.com/channel/UC0VEk7EL2_ohSGKdz1foigg,Bobo & Lulu
UC0WP5P-ufpRfjbNrmOWwLBQ,http://www.youtube.com/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd
UC0WaQep2Z8eGLNX-Z6I4uNA,http://www.youtube.com/channel/UC0WaQep2Z8eGLNX-Z6I4uNA,Cristian Torres
UC0g5su35qqjwnM9ISIPZu7g,http://www.youtube.com/channel/UC0g5su35qqjwnM9ISIPZu7g,WozniakNewsTV
UC0vBXGSyV14uvJ4hECDOl0Q,http://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie
UC0wzU1tbTiZAgeIxQ__ZUtw,http://www.youtube.com/channel/UC0wzU1tbTiZAgeIxQ__ZUtw,DefendPTR
UC11PvrGPzo6Y7Zc6-e9cAKg,http://www.youtube.com/channel/UC11PvrGPzo6Y7Zc6-e9cAKg,DramaAlert
UC14oQ42xP6JnPvO_4GVq6yQ,http://www.youtube.com/channel/UC14oQ42xP6JnPvO_4GVq6yQ,YourBoySponge
UC1Aha9aLmlkIbBN-iAttBzw,http://www.youtube.com/channel/UC1Aha9aLmlkIbBN-iAttBzw,Max Verstappen
UC1D3yD4wlPMico0dss264XA,http://www.youtube.com/channel/UC1D3yD4wlPMico0dss264XA,NileBlue
UC1UbX6IQrZfL42v1YqN_qsw,http://www.youtube.com/channel/UC1UbX6IQrZfL42v1YqN_qsw,Doktor Skipper
UC1h7snADIz0_Ir2Va2Ui8iA,http://www.youtube.com/channel/UC1h7snADIz0_Ir2Va2Ui8iA,Jawbreaker Juice
UC1kFilTL-VyPXuMpcHxBLHw,http://www.youtube.com/channel/UC1kFilTL-VyPXuMpcHxBLHw,JayBoyModz
UC1l8_AtyskpHP-weVx47POg,http://www.youtube.com/channel/UC1l8_AtyskpHP-weVx47POg,Carlos Sainz
UC1qobUV5RkqaahCxQBeNkgA,http://www.youtube.com/channel/UC1qobUV5RkqaahCxQBeNkgA,MeTalkOverGames
UC20LoHy2mX0LQODrkUalxVQ,http://www.youtube.com/channel/UC20LoHy2mX0LQODrkUalxVQ,Donald Glover
UC23P0g2Vt4o6qt5dglgOGKQ,http://www.youtube.com/channel/UC23P0g2Vt4o6qt5dglgOGKQ,Daniel Ricciardo
UC2G_qtiRHAji6JQP9uCsGfQ,http://www.youtube.com/channel/UC2G_qtiRHAji6JQP9uCsGfQ,Jah Talks Music
UC2XIdC1gBNNXsH7iFdEaX-A,http://www.youtube.com/channel/UC2XIdC1gBNNXsH7iFdEaX-A,Valtteri Bottas
UC2_ZUXs5oDv9Crj3f72j9Yw,http://www.youtube.com/channel/UC2_ZUXs5oDv9Crj3f72j9Yw,Nice Peter
UC2ehvhAcMB332Bl7DoUiWAw,http://www.youtube.com/channel/UC2ehvhAcMB332Bl7DoUiWAw,NutsPlayGames
UC2hm5rD_IrfYRMfq5YQudgA,http://www.youtube.com/channel/UC2hm5rD_IrfYRMfq5YQudgA,Haminations
UC2iyG4YeRhCi54dJuHvdSjw,http://www.youtube.com/channel/UC2iyG4YeRhCi54dJuHvdSjw,Larry
UC2mP7il3YV7TxM_3m6U0bwA,http://www.youtube.com/channel/UC2mP7il3YV7TxM_3m6U0bwA,jschlattLIVE
UC377Ly3wIMc0_yY36IrQfMg,http://www.youtube.com/channel/UC377Ly3wIMc0_yY36IrQfMg,histheme 
UC3GYM6umHrXyKFbKIeyE82A,http://www.youtube.com/channel/UC3GYM6umHrXyKFbKIeyE82A,"Hello Mr JackSucksAtLife, I Have Made This Username Longer Than JacksEpicYoutubeChannelFullOfFunTimesAndFunHiRickX This User Name Is Going To Be 450 Characters Long So Yes It Will Be Very Very Very Long And Did I Mention It Is Longer Than Your Channel Called JacksEpicYoutubeChannelFullOfFunTimesAndFunHiRickX Oh Wait I Just Remembered I Did Well Anyways I Will Make This Long By Spamming TurdBoi So Lets Do That TurdBoiTurdBoiTurdBoiTurdBoiTurdBoiii"
UC3_D-qGl_rCQ8_dmnSRHEOg,http://www.youtube.com/channel/UC3_D-qGl_rCQ8_dmnSRHEOg,Rich Black Talks
UC3amErNMb-MgYCw0C3uuAPA,http://www.youtube.com/channel/UC3amErNMb-MgYCw0C3uuAPA,eternaliam
UC3iNdSV_RQU7DHTGpqEW96w,http://www.youtube.com/channel/UC3iNdSV_RQU7DHTGpqEW96w,wilfur
UC3lBXcrKFnFAFkfVk5WuKcQ,http://www.youtube.com/channel/UC3lBXcrKFnFAFkfVk5WuKcQ,Kendrick Lamar
UC3qO7p27N3TOR-wue3OwxGQ,http://www.youtube.com/channel/UC3qO7p27N3TOR-wue3OwxGQ,sciencecraft
UC3r2fHMP1OXoKt-FBgwVnOA,http://www.youtube.com/channel/UC3r2fHMP1OXoKt-FBgwVnOA,Acai
UC3scOAITY_R7hLU4B7_rONg,http://www.youtube.com/channel/UC3scOAITY_R7hLU4B7_rONg,Presidents Play
UC3sznuotAs2ohg_U__Jzj_Q,http://www.youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists
UC4-2vzDsx6SMQ4-5BeSryqw,http://www.youtube.com/channel/UC4-2vzDsx6SMQ4-5BeSryqw,RSK
UC4-79UOlP48-QNGgCko5p2g,http://www.youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g,MrBeast 2
UC4KWYlW-B2oqxc36TH_RcXw,http://www.youtube.com/channel/UC4KWYlW-B2oqxc36TH_RcXw,SenyaiGrubs
UC4PQqjGczpgmqbpicKjkwvw,http://www.youtube.com/channel/UC4PQqjGczpgmqbpicKjkwvw,Druski
UC4PooiX37Pld1T8J5SYT-SQ,http://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning
UC4QobU6STFB0P71PMvOGN5A,http://www.youtube.com/channel/UC4QobU6STFB0P71PMvOGN5A,jawed
UC4RTOT3mJ21lviRCd8NNMhQ,http://www.youtube.com/channel/UC4RTOT3mJ21lviRCd8NNMhQ,Karadio
UC4RzWmN1PJ4CjnxagIAQOAA,http://www.youtube.com/channel/UC4RzWmN1PJ4CjnxagIAQOAA,Cohen Thompson
UC4Z8mPYjn6Dhr6n531YDh0Q,http://www.youtube.com/channel/UC4Z8mPYjn6Dhr6n531YDh0Q,UFD Tech
UC4jBoEBDEhWuDIYBAOaZ-9Q,http://www.youtube.com/channel/UC4jBoEBDEhWuDIYBAOaZ-9Q,KingScienceShorts
UC4lFImiWm-vpWaEcwfotXSA,http://www.youtube.com/channel/UC4lFImiWm-vpWaEcwfotXSA,St. Pius X Catholic Church San Antonio TX
UC4m1l1G3tpb4C1EiljBLI3A,http://www.youtube.com/channel/UC4m1l1G3tpb4C1EiljBLI3A,Joe
UC4mLlRa_dezwvytudo9s1sw,http://www.youtube.com/channel/UC4mLlRa_dezwvytudo9s1sw,Deestroying
UC4mvIQntW-fX27Ez-U-KDHw,http://www.youtube.com/channel/UC4mvIQntW-fX27Ez-U-KDHw,Luke Correia
UC4rqhyiTs7XyuODcECvuiiQ,http://www.youtube.com/channel/UC4rqhyiTs7XyuODcECvuiiQ,Scott The Woz
UC4taSodn3ll8iULPmxfxLyQ,http://www.youtube.com/channel/UC4taSodn3ll8iULPmxfxLyQ,NERD
UC4z8nBfrXuWWx3noqd1I5Xw,http://www.youtube.com/channel/UC4z8nBfrXuWWx3noqd1I5Xw,raxdflipnote
UC5NrPdGm3XhawUQ9RMqzLzg,http://www.youtube.com/channel/UC5NrPdGm3XhawUQ9RMqzLzg,Quit The Build
UC5oMpJJ5poXbBgABWwnuW5w,http://www.youtube.com/channel/UC5oMpJJ5poXbBgABWwnuW5w,RoyalProtoM
UC5qYZ2itofIxfIpt3VimUaQ,http://www.youtube.com/channel/UC5qYZ2itofIxfIpt3VimUaQ,DanNoSkill
UC5ywBAXO4F4CoJGlfVIg9kw,http://www.youtube.com/channel/UC5ywBAXO4F4CoJGlfVIg9kw,Hobo Bros
UC60g7m5hWDG431XXTZd58gg,http://www.youtube.com/channel/UC60g7m5hWDG431XXTZd58gg,Jaron
UC652oRUvX1onwrrZ8ADJRPw,http://www.youtube.com/channel/UC652oRUvX1onwrrZ8ADJRPw,Playboi Carti
UC68DIXWCmetC8N5J_Kc5gjQ,http://www.youtube.com/channel/UC68DIXWCmetC8N5J_Kc5gjQ,Don't Subscribe
UC68fF7KHl6Os3JsIa7Mh4rg,http://www.youtube.com/channel/UC68fF7KHl6Os3JsIa7Mh4rg,Huggbees: Gamer Mode
UC69MU28YBDWCLe6mLoSErVg,http://www.youtube.com/channel/UC69MU28YBDWCLe6mLoSErVg,Rumble Pack
UC6Ii2PPnHDkjLTJJQgOw7sQ,http://www.youtube.com/channel/UC6Ii2PPnHDkjLTJJQgOw7sQ,Jeaney Collects
UC6M7JgV6I5D6-xTOXmtB0hg,http://www.youtube.com/channel/UC6M7JgV6I5D6-xTOXmtB0hg,Hullsome
UC6VcWc1rAoWdBCM0JxrRQ3A,http://www.youtube.com/channel/UC6VcWc1rAoWdBCM0JxrRQ3A,Rockstar Games
UC6ZOc0UE43B8tey3NVmh3pw,http://www.youtube.com/channel/UC6ZOc0UE43B8tey3NVmh3pw,GLITCH SHORTS
UC6a670-cHogNxe4QBfCSkFg,http://www.youtube.com/channel/UC6a670-cHogNxe4QBfCSkFg,DVNTY
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC6qrG3W8SMK0jior2olka3g,http://www.youtube.com/channel/UC6qrG3W8SMK0jior2olka3g,EarthCam
UC6uZzgoiYRCBNe3cJp7ZFBA,http://www.youtube.com/channel/UC6uZzgoiYRCBNe3cJp7ZFBA,floydbishop
UC6w14A0VqI0Hb24Jtl5TM9A,http://www.youtube.com/channel/UC6w14A0VqI0Hb24Jtl5TM9A,Not Applicable
UC6xOAHgx30I_fbvW2jcC04Q,http://www.youtube.com/channel/UC6xOAHgx30I_fbvW2jcC04Q,෴ʲᵘⁱᶜᵉᵃⁿᵈˣˣˣᵘⁿʳᵉˡᵉᵃˢᵉᵈ෴
UC78xVcXbZwxM19rtYudoywg,http://www.youtube.com/channel/UC78xVcXbZwxM19rtYudoywg,The Animated Legend
UC7CxchrET6AiP5duRIPDv9g,http://www.youtube.com/channel/UC7CxchrET6AiP5duRIPDv9g,Restream.io
UC7Gf2tZ8coTX2ckTPgn62iQ,http://www.youtube.com/channel/UC7Gf2tZ8coTX2ckTPgn62iQ,Disney Kids
UC7HiPCtTwr1hu7qNPrqOYtQ,http://www.youtube.com/channel/UC7HiPCtTwr1hu7qNPrqOYtQ,The Marshmallow Co.
UC7Jwj9fkrf1adN4fMmTkpug,http://www.youtube.com/channel/UC7Jwj9fkrf1adN4fMmTkpug,DankPods
UC7K0ffkuU8ZGkbGqLxIoHHg,http://www.youtube.com/channel/UC7K0ffkuU8ZGkbGqLxIoHHg,Ai Sponge (Hosting)
UC7LJSq2EkTUhHiNjpXg22mg,http://www.youtube.com/channel/UC7LJSq2EkTUhHiNjpXg22mg,yikes
UC7R27sAWc_DqOldtI1JcYhQ,http://www.youtube.com/channel/UC7R27sAWc_DqOldtI1JcYhQ,South Park Studios
